,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,CATALOGO REQUISITOS CATEGORIAS,,,,,,,GRUPOS DE REQUISITOS,,,,,,,CONDICIONES,,,,
,ID_Requisito,Código,Nombre del Requisito,Descripción,Tipo Resumen Comprobante,,,ID_Grupo,ID_Categoria_Promovibles,ID_Grupo_Padre,"Tipo Grupo (RAIZ, INDISPENSABLE, ALTERNATIVA_UNO, ALTERNATIVA_DOS, SUBOPCION)",Operador Lógico,,,ID_Condicion,ID_Grupo,ID_Requisito,Operador,Valor Esperado
,P01,ESCOLARIDAD,ESCOLARIDAD: TÍTULO O GRADO O DOCUMENTO COMPROBATORIO,"Fecha de obtención del documento, por la opción 
de escolaridad que participa (titulado, sin grado o con grado)Anexar copia fiel del Título o Grado o documento comprobatorio, anotando en 
el espacio de observaciones la fecha de obtención del documento, por la opción 
de escolaridad que participa (titulado, sin grado o con grado). ",SITUACION_GENERAL,,,,,,,,,,,,,,
,P02,CEDULA_PROF,CÉDULA PROFESIONAL,"Anexar copia fiel de la cédula profesional, anotando en el espacio de observaciones el número de la misma.",SITUACION_GENERAL,,,,,,,,,,,,,,
,P03,CERT_ESTUD__CART_PAS,CERTIFICADO DE ESTUDIOS O CARTA PASANTE,"En el caso de comprobar experiencia profesional, deberá anexar copia fiel del certificado o carta de pasante, anotando en el espacio de observaciones, la fecha de expedición del mismo",SITUACION_GENERAL,,,,,,,,,,,,,,
,P04,HORARIO_ACT,HORARIO DE ACTIVIDADES DEL SEMESTRE ANTERIOR Y ACTUAL,"Anexar copia fiel del horario institucional de actividades del semestre anterior 
y actual, debidamente requisitados y firmados por las autoridades 
correspondientes.  
 
Para los casos que no se encuentran frente a grupo (únicamente CRODE´S), 
de igual manera se anexará copia fiel del horario de trabajo, donde deberá 
estar especificado en qué área y tipo de actividad se encuentra desarrollando 
actualmente, de no ser así, se anexará al horario de trabajo una constancia 
expedida por la autoridad responsable, detallando lo anteriormente solicitado.",SITUACION_GENERAL,,,,,,,,,,,,,,
,P05,LIBERACION_ACT,HOJA DE LIBERACIÓN DE ACTIVIDADES (CUMPLIMIENTO SATISFACTORIO) DEL ÚLTIMO SEMESTRE CONCLUIDO,Anexar copia fiel de la liberación de actividades (cumplimiento satisfactorio) del último semestre concluido.,SITUACION_GENERAL,,,,,,,,,,,,,,
,P06,TALONES_PAGO,COPIA(S) DEL TALÓN(ES) DE PAGO DE LA ÚLTIMA QUINCENA ÚNICAMENTE CLAVE(S) A PROMOVER,"Anexar copia fiel de talón (es) de pago de la última quincena (únicamente 
clave(s) a promover) anotando en el espacio de observaciones a que periodo 
pertenece, ejemplo: 2025/04 (año/qna). 
",SITUACION_GENERAL,,,,,,,,,,,,,,
,P07,CONSTANCIA_NOMB,COPIA(S) DE SU(S) CONSTANCIA(S) DE NOMBRAMIENTO(S) DE LA(S) CLAVE(S) A PROMOCIONAR,Anexar copia fiel de la(s) constancia(s) de nombramiento(s) actual(es). ,SITUACION_GENERAL,,,,,,,,,,,,,,
,P08,AUTORIZACION_SABATICO,OFICIO DE AUTORIZACIÓN PARA LOS CASOS QUE SE ENCUENTREN EN AÑO SABÁTICO,Anexar copia fotostática del oficio de autorización anotando en el espacio de observaciones el número de oficio de autorización. ,SITUACION_GENERAL,,,,,,,,,,,,,,
,P09,ELABORACION_APUNTES,ELABORACIÓN DE APUNTES,"Se consideran las publicaciones académicas internas, en una Institución cuyo material debe presentarse impreso y cubrir un curso o programa de asignatura completo. Presentarán constancia firmada por el jefe del departamento correspondiente, donde se haya realizado la actividad, indicando el nombre del 
trabajo elaborado, periodo de realización (inicio y término), nombre de la asignatura y grado en que se utiliza y anexar un ejemplar en fotocopia cotejada de los apuntes correspondientes. (La actividad deberá ser con fecha posterior a la última promoción del docente). ",ALTERNATIVA_UNO,,,,,,,,,,,,,,
,P10,ELABORACION_TEXTOS,ELABORACIÓN DE TEXTOS,"Se considera la elaboración de libros de consulta para un curso o asignatura 
completa. Presentará constancia firmada por el jefe del departamento 
correspondiente, donde se haya realizado la actividad indicando el nombre del 
trabajo elaborado, periodo de realización (inicio y término), nombre de la 
asignatura y grado en que se utiliza y anexar un ejemplar en fotocopia cotejada 
del texto correspondiente. (La actividad deberá ser con fecha posterior a la 
última promoción del docente). ",ALTERNATIVA_UNO,,,,,,,,,,,,,,
,P11,ELABORACION_MATERIAL_DIDACTICO,ELABORACIÓN DE MATERIAL DIDÁCTICO,"Presentarán constancia firmada por el jefe del departamento correspondiente, 
donde se haya realizado la actividad, describiendo e indicando el tipo de 
material que se elaboró (audiovisual, documental, gráfico, etc.), periodo de 
elaboración (inicio y término), nombre de la asignatura y grado en que se 
utiliza, en los casos que así proceda, se deberá anexar un ejemplar en fotocopia 
cotejada del material elaborado. (La actividad deberá ser con fecha posterior 
a la última promoción del docente). ",ALTERNATIVA_UNO,,,,,,,,,,,,,,
,P12,ELABORACION_APOYOS_DOCENTES,ELABORACIÓN DE OTROS APOYOS DOCENTES,"Se consideran las asesorías de tesis, sinodalías en exámenes profesionales, elaboración de planes y programas de estudio, cursos de inducción, cursos de regularización, asesoría a estudiantes y pasantes, asesoría en proyectos de extensión y servicio social, asesorías de residencias profesionales, elaboración de antologías, manuales de laboratorio, cursos especiales impartidos, etc. Será necesario presentar constancia firmada por el jefe del departamento respectivo, indicando la descripción del apoyo, en qué nivel se aplicó (superior o posgrado), periodo realizado (inicio y término) y anexar un ejemplar en fotocopia cotejada del apoyo correspondiente. (La actividad deberá ser con fecha posterior a la última promoción del docente).",ALTERNATIVA_UNO,,,,,,,,,,,,,,
